TEST,UNIT,N,MEAN,S.D,RANGE
MPV,fL(μm³),176,7.8,0.9,6.2-9.8
Platelets,10³/μL,175,929.0,133.0,680-1200
RDW,%,176,12.2,1.2,10.5-14.9
MCHC,g/dL,176,35.3,1.3,33.2-37.9
MCH,pg,176,19.0,0.8,17.8-20.9
Hematocrit,%,176,43.3,3.1,37.9-49.9
Hemoglobin,g/dL,176,15.2,0.9,13.7-16.8
Red Blood Cells,10⁶/μL,176,8.02,0.53,7.07-9.03
White Blood Cells,10³/μL,176,3.12,1.49,1.13-7.49
MCV,fL(μm³),176,53.8,2.3,49.9-58.3
Neutrophils,10³/μL,174,0.46,0.31,0.15-1.5
Lymphocytes,10³/μL,176,2.5,1.21,0.82-5.66
Monocytes,10³/μL,175,0.06,0.03,0.02-0.16
Eosinophils,10³/μL,175,0.05,0.03,0.01-0.15
Basophils,10³/μL,176,0.01,0.01,0-0.03
Reticulocytes,10⁹/L,156,216.6,57.0,129.8-383.7
CHCM,g/dL,176,35.7,1.3,33.3-38.1
CH,pg,176,19.2,0.7,18.1-20.9
HDW,g/dL,176,2.31,0.25,1.88-2.81
PDW,%,176,52.7,5.5,42.2-64.4
% Neutrophils,%,175,15.4,6.4,7.1-33.2
% Lymphocytes,%,176,80.0,6.7,62.2-90
% Monocytes,%,176,2.0,0.8,0.8-3.9
% Eosinophils,%,174,1.7,1.0,0.5-4.5
% Basophils,%,176,0.3,0.2,0-0.8
% Large unstained cells,10³/μL,171,0.5,0.2,0-1.0
Large unstained cells,%,172,0.01,0.01,0-0.04
% Reticulocytes,%,156,2.7,0.8,1.7-4.7
Fibrinogen,mg/dL,69,131.6,18.5,100.1-188.5
Prothrombin Time,sec,128,13.44,0.86,11.95-14.8
Activated Partial Prothrombin Time,sec,128,20.04,4.22,14-28.8
Phosphorus,mg/dL,158,7.92,1.51,5.02-10.7
Calcium,mg/dL,159,10.5,0.4,9.7-11.2
Total Protein,g/dL,159,6.3,0.5,5.5-7.7
Triglycerides,mg/dL,159,28.0,8.0,14-46
Cholesterol,mg/dL,159,48.0,13.0,24-73
Glucose,mg/dL,159,117.0,25.0,76-175
Creatinine,mg/dL,159,0.4,0.1,0.2-0.6
Indirect Bilirubin,mg/dL,133,0.08,0.03,0.03-0.15
Direct Bilirubin,mg/dL,95,0.04,0.01,0.03-0.06
Total Bilirubin,mg/dL,157,0.11,0.03,0.05-0.18
Alkaline Phosphatase,U/L,159,59.0,28.0,26-147
Aspartate Aminotransferase,U/L,158,102.0,31.0,65-203
Alanine Aminotransferase,U/L,157,25.0,9.0,16-48
Creatine Kinase,U/L,46,575.0,260.0,163-1085
Albumin,g/dL,159,4.4,0.5,3.6-5.5
Globulin,g/dL,139,2.0,0.2,1.5-2.4
A/G Ratio,ratio,139,2.2,0.34,1.71-3
Urea,mg/dL,158,19.3,3.7,13.2-27.1
Sodium,mmol/L,159,144.0,2.0,140-150
Potassium,mmol/L,158,4.07,0.37,3.31-4.9
Chloride,mmol/L,159,103.0,2.0,100-107
