TEST,UNIT,N,MEAN,S.D,RANGE
MPV,fL(μm³),181,7.7,0.8,6.2-9.4
Platelets,10³/μL,181,904.0,137.0,638-1177
RDW,%,179,12.7,1.1,11.1-15.2
MCHC,g/dL,181,34.9,1.2,32.9-37.5
MCH,pg,181,18.7,0.8,17.1-20.4
Hematocrit,%,181,45.0,3.5,39.6-52.5
Hemoglobin,g/dL,181,15.7,1.0,13.7-17.6
Red Blood Cells,10⁶/μL,181,8.39,0.67,7.27-9.65
White Blood Cells,10³/μL,181,4.52,1.81,1.96-8.25
MCV,fL(μm³),181,53.5,2.4,48.9-57.9
Neutrophils,10³/μL,179,0.68,0.33,0.22-1.57
Lymphocytes,10³/μL,181,3.63,1.56,1.41-7.11
Monocytes,10³/μL,179,0.08,0.04,0.03-0.18
Eosinophils,10³/μL,180,0.06,0.04,0.01-0.16
Basophils,10³/μL,181,0.02,0.01,0-0.05
Reticulocytes,10⁹/L,163,238.0,61.7,152.3-381.5
CHCM,g/dL,181,35.3,1.2,33-37.7
CH,pg,181,18.9,0.8,17.4-20.3
HDW,g/dL,181,2.7,0.37,2.04-3.49
PDW,%,181,52.9,5.5,43.2-64.3
% Neutrophils,%,178,15.5,5.5,6.2-26.7
% Lymphocytes,%,179,80.2,6.3,66.6-90.3
% Monocytes,%,179,1.9,0.7,0.8-3.8
% Eosinophils,%,179,1.3,0.8,0.2-3.5
% Basophils,%,181,0.3,0.2,0-0.8
% Large unstained cells,10³/μL,176,0.5,0.2,0.1-1.1
Large unstained cells,%,174,0.02,0.01,0.01-0.06
% Reticulocytes,%,163,2.9,0.8,1.7-4.9
Phosphorus,mg/dL,164,8.04,1.22,5.58-10.41
Calcium,mg/dL,165,10.4,0.5,9.5-11.5
Total Protein,g/dL,164,6.0,0.5,5.2-7.1
Triglycerides,mg/dL,163,44.0,21.0,20-114
Cholesterol,mg/dL,165,58.0,13.0,37-85
Glucose,mg/dL,165,123.0,38.0,70-208
Creatinine,mg/dL,163,0.3,0.1,0.2-0.5
Indirect Bilirubin,mg/dL,139,0.06,0.03,0.01-0.12
Direct Bilirubin,mg/dL,109,0.04,0.01,0.03-0.05
Total Bilirubin,mg/dL,165,0.09,0.03,0.05-0.15
Alkaline Phosphatase,U/L,163,113.0,44.0,62-230
Aspartate Aminotransferase,U/L,164,105.0,20.0,74-143
Alanine Aminotransferase,U/L,164,28.0,7.0,18-45
Creatine Kinase,U/L,45,658.0,343.0,162-1184
Albumin,g/dL,164,4.0,0.4,3.4-4.8
Globulin,g/dL,144,2.0,0.2,1.5-2.5
A/G Ratio,ratio,144,1.99,0.29,1.58-2.67
Urea,mg/dL,164,17.1,2.9,12.3-24.6
Sodium,mmol/L,165,146.0,2.0,142-151
Potassium,mmol/L,165,4.48,0.44,3.82-5.55
Chloride,mmol/L,165,103.0,1.0,100-106
Fibrinogen,mg/dL,71,158.4,24.0,109.7-212.4
Prothrombin Time,sec,140,13.61,0.8,12.5-15.7
Activated Partial Prothrombin Time,sec,139,21.6,4.12,14.3-31.5
